 Lista de Imóveis da Caixa;;Data de geração:;08/05/2026;;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso
1,4444E+12;RJ ;RIO BONITO ;CIDADE NOVA ;R FRANCISCO ALVES DE MENDO, N. 185, ;534.388,04;860.000,00;37.87;Não;Casa, 0.00 de área total, 3690.00 de área privativa, 369.00 de área do terreno,  4 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444403958108
1,44442E+12;RJ ;RIO BONITO ;DUAS BARRAS ; RUA B, N. 26, CASA12, ÁREA A ;152.859,83;246.000,00;37.87;Sim;Casa, 85.23 de área total, 85.23 de área privativa, 396.95 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420079532
1,55553E+12;RJ ;NOVA IGUACU ;JARDIM ALVORADA ;AVENIDA ABILIO AUGUSTO TAVORA, N. SN, Apto 411, BL 06 ;102.302,55;165.644,14;38.24;Não;Apartamento, 45.49 de área total, 45.49 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555534118733
1,44442E+12;RJ ;NOVA IGUACU ;OURO PRETO ;RUA BOA VISTA, N. SN, CS 90 LT 02 QD 07 ;102.117,10;165.343,87;38.24;Não;Casa, 41.83 de área total, 41.83 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444423714492
8,7877E+12;RJ ;NOVA IGUACU ;JARDIM PALMARES ;RUA ANA CARLA, N. SN, Apto 302, BL 20 ;108.080,77;175.000,00;38.24;Não;Apartamento, 47.81 de área total, 47.81 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701715425
1,44441E+12;RJ ;RIO DAS OSTRAS ;LOTEAMENTO EXTENSAO DO SERRAMAR ;RUA PROJETADA 4, N. SN, QD F LT 09 ;96.655,09;156.500,00;38.24;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 482.87 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406015158
1,44442E+12;RJ ;SAO GONCALO ;PORTO DA MADAMA ;RUA EUCLIDES DA CUNHA, N. 97, CS 01 ;106.845,56;173.000,00;38.24;Não;Casa, 0.00 de área total, 81.55 de área privativa, 112.62 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415723666
1,4444E+12;RJ ;NOVA IGUACU ;BAIRRO IBERIA ;RUA MANOEL RODRIGUES, N. 18, LT 34, QD 4 ;120.896,48;197.000,00;38.64;Não;Casa, 71.40 de área total, 71.40 de área privativa, 67.45 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402829304
1,7877E+12;RJ ;NOVA IGUACU ;PARQUE ROSARIO ;ESTRADA DOUTOR PLINIO CASADO, N. 2450, Apto 512, BL 01 ;126.419,67;206.000,00;38.64;Não;Apartamento, 59.18 de área total, 41.63 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787700996082
1,44441E+12;RJ ;RIO DAS OSTRAS ;RESIDENCIAL PRAIA ANCORA ;RUA PEPERONIA, N. 547, Apto 201, LT 48 QD 77 ;121.124,72;197.371,92;38.64;Não;Apartamento, 58.12 de área total, 53.74 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405999634
8,44444E+12;RJ ;SAO GONCALO ;ANTONINA ; R DESEMBARGADOR TOLEDO PIZA, N. 217, CASA01, ;182.466,74;298.000,00;38.77;Sim;Casa, 173.15 de área total, 173.15 de área privativa, 151.95 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444435415787
8,78771E+12;RJ ;VOLTA REDONDA ;AGUA LIMPA ; RODOVIA DO CONTORNO, N. 3301, Apto 403, BL 01, 3º ANDAR TIPO 1 ;153.076,13;250.000,00;38.77;Sim;Apartamento, 63.72 de área total, 46.80 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708050623
1,7877E+12;RJ ;NOVA IGUACU ;VILA CATIA ;RUA TENORIO CAVALCANTI, N. 180, Apto 301, BL 1C ;90.349,97;148.000,00;38.96;Não;Apartamento, 54.15 de área total, 45.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787700060591
8,55553E+12;RJ ;SAO GONCALO ;ITAUNA ; RUA MACOLIN, N. 119, CASA 01, ;86.763,15;142.124,52;38.96;Não;Casa, 40.22 de área total, 40.22 de área privativa, 313.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555525232543
8,44441E+12;RJ ;SAO GONCALO ;GUAXINDIBA ;RUA CRISTOVAO SARDINHA, N. 97, CASA  01 JD BOM RETIRO ;94.372,99;154.590,00;38.96;Não;Casa, 0.00 de área total, 480.00 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408849410
1,4444E+12;RJ ;SAO GONCALO ;COLUBANDE ;RUA EXP. PASTOR AVELINO DE SOUZA, N. 280, ;90.349,97;148.000,00;38.96;Não;Casa, 0.00 de área total, 60.52 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401244825
8,44441E+12;RJ ;SAO GONCALO ;PORTO DO ROSA ;RUA ALVARO COSTA, N. 554, Apto 202, ;91.570,92;150.000,00;38.96;Não;Apartamento, 68.25 de área total, 68.25 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410375781
8,44441E+12;RJ ;SAO GONCALO ;AMENDOEIRA ;RUA OLIMPIO CARVALHO, N. 76, Apto 201, 201, ;88.518,56;145.000,00;38.96;Não;Apartamento, 66.57 de área total, 66.57 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405943092
1,44442E+12;RJ ;NOVA IGUACU ;RECREIO PACO DA MARAMBAIA ;RUA MIGUEL FERREIRA LOPES, N. S/N, LOTE 8, QUADRA 18 ;253.077,51;418.000,00;39.46;Sim;Casa, 171.17 de área total, 171.17 de área privativa, 900.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 3 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444422727744
8,44443E+12;RJ ;NOVA IGUACU ;CENTRO ;AVENIDA MARECHAL FLORIANO PEIXOTO, N. 1480, Apto 1302,  BLOCO 01 ;126.926,84;210.000,00;39.56;Não;Apartamento, 60.00 de área total, 60.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430739142
8,78771E+12;RJ ;NOVA IGUACU ;CENTRO ;AVENIDA ABILIO AUGUSTO TAVORA, N. S/N, Apto 101, BL 3 ;117.256,22;194.000,00;39.56;Não;Apartamento, 40.82 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710751323
8,78772E+12;RJ ;NOVA IGUACU ;CENTRO ;AVENIDA ABILIO AUGUSTO TAVORA, N. S/N, Apto 501,  BL 12 ;117.860,63;195.000,00;39.56;Não;Apartamento, 47.11 de área total, 40.83 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716112055
8,78771E+12;RJ ;NOVA IGUACU ;PONTO CHIC ;ESTRADA VELHA DE SANTA RITA, N. 1052, Apto 402, BL 08 ;119.976,08;198.500,00;39.56;Não;Apartamento, 44.98 de área total, 44.98 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710580090
8,7877E+12;RJ ;NOVA IGUACU ;JARDIM DA POSSE ;RUA OLIVEIRO RODRIGUES ALVES, N. 1476, Apto 403, BL 07 ;116.047,39;192.000,00;39.56;Não;Apartamento, 48.29 de área total, 43.08 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701017922
8,55553E+12;RJ ;NOVA IGUACU ;JARDIM ALVORADA ;AVENIDA ABILIO AUGUSTO TAVORA, N. 368, Apto 304, BL 02 ;130.995,75;216.732,00;39.56;Sim;Apartamento, 66.42 de área total, 45.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555534643062
8,78772E+12;RJ ;NOVA IGUACU ;TRES CORACOES ;ESTRADA VELHA DE SANTA RITA, N. 1052, Apto 204, BLOCO 12 ;126.926,84;210.000,00;39.56;Não;Apartamento, 0.00 de área total, 43.68 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716263819
8,44441E+12;RJ ;NOVA IGUACU ;VILA AVELINA ;RUA JOSE DOS ANJOS, N. 32, CASA 05 LT 06 ;121.854,45;201.607,75;39.56;Não;Casa, 59.22 de área total, 59.22 de área privativa, 570.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409633217
8,78771E+12;RJ ;NOVA IGUACU ;PARQUE ROSARIO ;ESTRADA DOUTOR PLINIO CASADO, N. 2450, Apto 1402, BL 01 ;113.629,74;188.000,00;39.56;Não;Apartamento, 60.04 de área total, 42.49 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712017236
